name,polarity,factual,domain
Great American Politics,Right,Mixed, https://greatamericanpolitics.com/
Guerrilla News,Right,Mixed, https://www.guerrilla.news
Guido Fawkes,Right,Mixed, https://order-order.com
Heat Street,Right,Mixed, http://heatst.com/
Heritage Foundation,Right,Mixed, https://www.heritage.org
HermanCain.com,Right,Mixed, https://www.hermancain.com/
Hillary Daily,Right,Mixed, https://hillarydaily.com/
Hot Air,Right,Mostly Factual, https://hotair.com
Hudson Institute,Right,High, https://www.hudson.org/
Human Events,Right,Mixed, https://humanevents.com/
Hurriyet,Right,Mixed, https://www.hurriyet.com.tr/
Hurriyet Daily News,Right,Mixed, http://www.hurriyetdailynews.com/
I Bleed Red White and Blue,Right,Mixed, http://ibleedredwhiteblue.com/
Illinois Policy Institute,Right,Mostly Factual, https://www.illinoispolicy.org/
Imprimis,Right,Mixed, https://imprimis.hillsdale.edu
Independent Women's Forum,Right,Mostly Factual, https://iwf.org/
Influence Watch,Right,High, https://www.influencewatch.org
Institute for Family Studies,Right,Mixed, https://ifstudies.org
Intellectual Takeout,Right,Mostly Factual, https://www.intellectualtakeout.org/
Investors Business Daily,Right,Mixed, https://www.investors.com/
iPatriot,Right,Mixed, https://ipatriot.com/
Issues & Insights,Right,Mixed, https://issuesinsights.com/
Jewish Policy Center,Right,High, https://www.jewishpolicycenter.org/
Jewish World Review,Right,Mixed, http://www.jewishworldreview.com/
Judicial Crisis Network,Right,Mixed, https://judicialnetwork.com/
Just The News,Right,Mixed, https://justthenews.com/
Kansas Policy Institute,Right,Mixed, https://kansaspolicy.org
Keep and Bear,Right,High, https://keepandbear.com
Knox Report,Right,Mixed, http://knoxreport.com/
Law Enforcement Today,Right,Mixed, https://www.lawenforcementtoday.com/
Le Journal de Montreal,Right,Mostly Factual, https://www.journaldemontreal.com/
Legal Insurrection,Right,High, https://legalinsurrection.com
Liberty Hangout,Right,Low, http://libertyhangout.org/
Liberty Headlines,Right,Mixed, https://www.libertyheadlines.com/
Liberty Nation,Right,Mixed, https://www.libertynation.com
Liberty News,Right,Mixed, https://www.libertynews.com/
Liberty Unyielding,Right,Mostly Factual, https://www.libertynews.com/
Life and About,Right,Mixed, https://lifeandabout.com/
Life Decisions International,Right,Mixed, http://fightpp.org
Life Site News,Right,Mixed, https://www.lifesitenews.com/
Lifezette,Right,Mixed, https://www.lifezette.com
Lone Conservative,Right,Mixed, https://loneconservative.com
Louder with Crowder,Right,Mixed, https://www.louderwithcrowder.com
Lozier Institute,Right,Mixed, https://lozierinstitute.org/
Lyin' Comey,Right,Mixed, https://www.lyincomey.com/
Manchester Union leader,Right,High, https://www.unionleader.com/
Manhattan Institute for Policy Research,Right,Mixed, https://www.manhattan-institute.org/
Media Circus,Right,Mixed, https://www.mediacircus.com/
Media Equalizer,Right,Mixed, https://mediaequalizer.com/
Media Research Center (MRC),Right,Mixed, https://www.mrc.org/
Media Trackers,Right,Mixed, http://mediatrackers.org
Mercatornet,Right,High, https://www.mercatornet.com
Milliyet,Right,Mixed, https://www.milliyet.com.tr/
Minnesota Sun,Right,Mixed, https://theminnesotasun.com/
Mises Institute,Right,Mixed, https://mises.org/
National Catholic Register,Right,Mixed, https://www.ncregister.com/
National Center for Public Policy Research,Right,Mixed, http://www.nationalcenter.org/
National Federation of Republican Women (NFRW),Right,Mixed, https://www.nfrw.org/
National Review,Right,Mostly Factual, https://www.nationalreview.com
New Boston Post,Right,Mixed, https://newbostonpost.com/
New Revolution Now,Right,Mixed, http://www.newrevolutionnow.org/
Newsbusters,Right,Mixed, https://www.newsbusters.org/
Not Liberal,Right,Mixed, http://notliberal.com
Not the Bee,Right,High, https://notthebee.com/
NRA - Institute for Legislative Action,Right,Mixed, https://www.nraila.org
NTK Network,Right,Mixed, https://ntknetwork.com
Numbers USA,Right,Mixed,
Offended America,Right,Mixed, http://offendedamerica.com/
Offgrid Survival,Right,Mixed, https://offgridsurvival.com/
One Angry Gamer,Right,Mixed, https://www.oneangrygamer.net/
OneNewsNow,Right,Mixed, https://onenewsnow.com
Ontario Proud,Right,High, https://www.ontarioproud.ca
OpsLens,Right,Mixed, http://www.opslens.com/
OutKick,Right,Mostly Factual, https://www.outkick.com/
PanAm Post,Right,Mixed, https://panampost.com/
Patriot News Alerts,Right,Mixed, https://www.patriotnewsalerts.com
Patriot News Daily,Right,Mixed, http://patriotnewsdaily.com/
PatriotRetort.com,Right,Mixed, http://patriotretort.com
Pluralist,Right,Mostly Factual, https://www.pluralist.com
Policy Review,Right,High, http://www.hoover.org/publications/policy-review
Politicalite,Right,Mixed,
Politichicks,Right,Mixed, https://politichicks.com/
PoliticsNote,Right,Mixed, http://politicsnote.com
Politifeed,Right,Mixed, http://politifeed.net
Populist Wire,Right,High, https://www.populistwire.com
Powerline,Right,Mixed, https://www.powerlineblog.com/
Proud Conservative,Right,Mixed, conservativesus.party
Public Interest Legal Foundation,Right,Mixed, https://publicinterestlegal.org/
Punching Bag Post,Right,Mixed, https://punchingbagpost.com/
Quadrant Magazine,Right,Mixed, https://quadrant.org.au
Reader's Digest,Right,Mixed, https://www.rd.com
Real America's Voice,Right,Mixed, https://americasvoice.news/
Rebel News,Right,Mixed, https://www.rebelnews.com/
Red Alert Politics,Right,Mixed, http://redalertpolitics.com/
Red Flag News,Right,Mixed, http://www.redflagnews.com/
Regated News,Right,Mixed, https://regated.com/
RenewedRight.com,Right,Mixed, https://renewedright.com
Resistance Media,Right,Mixed, http://www.resistancemedia.org/
Restore American Glory,Right,High, http://www.restoreamericanglory.com/
Richochet,Right,Mixed, https://ricochet.com
Right & Free,Right,Mixed, https://rightandfree.com/
Ron Paul Liberty Report,Right,Mixed, http://www.ronpaullibertyreport.com/
Sabah,Right,Mixed, https://www.sabah.com.tr/
Save Jersey,Right,High, https://savejersey.com
Sentinel KSMO,Right,Mixed, https://sentinelksmo.org
Silence is Consent,Right,Mixed, http://silenceisconsent.net/
Sinclair Broadcast Group,Right,Mixed, http://sbgi.net/
Sky News Australia,Right,Mixed, https://www.skynews.com.au/
Sonoran News,Right,Mixed, http://sonorannews.com/
Southern Patriot News,Right,Mostly Factual, https://www.southernpatriotnews.com
Spiked Magazine,Right,Mixed, http://spiked-online.com/
StandPoint,Right,Mixed, http://www.standpointmag.co.uk
Star Political,Right,Mixed, https://starpolitical.com
