name,polarity,factual,domain
Covert Geopolitics,Conspiracy-Pseudoscience,Mixed, https://geopolitics.co
CreationWiki,Conspiracy-Pseudoscience,Mixed, http://creationwiki.org/Main_Page
CS Globe,Conspiracy-Pseudoscience,Low, http://csglobe.com/
Curious Mind Magazine,Conspiracy-Pseudoscience,Low, https://curiousmindmagazine.com/
Daily Grail,Conspiracy-Pseudoscience,Mixed, https://www.dailygrail.com
Daily Occupation,Conspiracy-Pseudoscience,Low, https://dailyoccupation.com/
DailyHealthPost,Conspiracy-Pseudoscience,Low, https://dailyhealthpost.com
Dark Journalist,Conspiracy-Pseudoscience,Low, https://www.darkjournalist.com
Data Asylum,Conspiracy-Pseudoscience,Low, http://www.dataasylum.com/index.html
David Icke,Conspiracy-Pseudoscience,Very Low, https://www.davidicke.com/
David Wolfe,Conspiracy-Pseudoscience,Mixed, https://www.davidwolfe.com/
Debunking Skeptics,Conspiracy-Pseudoscience,Low, http://www.debunkingskeptics.com/
Disclose TV,Conspiracy-Pseudoscience,Low, http://www.disclose.tv/
Discovery Institute,Conspiracy-Pseudoscience,Low, https://www.discovery.org/
Disobedient Media,Conspiracy-Pseudoscience,Mixed, https://disobedientmedia.com/
Distributed News,Conspiracy-Pseudoscience,Very Low, https://distributednews.com/
DoctorOz.com (Dr. Oz),Conspiracy-Pseudoscience,Mixed, https://www.doctoroz.com/
Dr. Axe,Conspiracy-Pseudoscience,Mixed, https://draxe.com/
Earth We are One (EWAO),Conspiracy-Pseudoscience,Low, http://ewao.com
Earthpulse Press,Conspiracy-Pseudoscience,Low, https://earthpulse.com/
Eco News,Conspiracy-Pseudoscience,Mixed, http://econewsmedia.org
Ecology News,Conspiracy-Pseudoscience,Very Low, https://www.ecology.news/
Educate Inspire Change,Conspiracy-Pseudoscience,Mixed, https://educateinspirechange.org/us/
Educate Yourself,Conspiracy-Pseudoscience,Very Low, http://educate-yourself.org/
Electroverse,Conspiracy-Pseudoscience,Low, https://electroverse.net/
Eluxe Magazine,Conspiracy-Pseudoscience,Mixed, https://eluxemagazine.com
End Time Headlines,Conspiracy-Pseudoscience,Low, https://endtimeheadlines.org/
